individual,subset,chain,Group,Cell Number,Cell Number Estimated,UMIorCell_code,Read count,UMI count,clonetype,Read/Cell(UMI),UMI/Cell(UMI),Clonetype/Cell(UMI)
O13,CD8EM,TRB,Aged,100000,,umi,1250549.0,86283,4341,14.493573473337737,1.0,0.05031118528562985
Y6,CD8EM,TRA,Young,100000,,umi,9028618.0,77295,8709,116.80727084546218,1.0,0.11267222976906656
Y6,CD8EM,TRB,Young,100000,,cell,7432230.0,194814,10919,74.3223,1.94814,0.10919
Y5,CD4NCD31,TRA,Young,136129,True,umi,744436.0,117475,58308,6.336973824217918,1.0,0.4963439029580762
Y5,CD4NCD31,TRB,Young,148779,True,cell,479189.0,167158,76783,3.220810732697491,1.1235322189287467,0.5160876198925923
O10,CD4EM,TRA,Aged,100000,,umi,1209349.0,47523,12192,25.44765692401574,1.0,0.2565494602613471
O10,CD4EM,TRB,Aged,100000,,umi,1121548.0,83160,16773,13.486628186628186,1.0,0.2016955266955267
Y4,CD8N,TRA,Young,150000,,umi,5209461.0,87519,49284,59.523771980941284,1.0,0.5631234360538855
Y4,CD8N,TRB,Young,150000,,cell,4610321.0,226603,91625,30.735473333333335,1.5106866666666667,0.6108333333333333
Y7,CD4NCD31-,TRA,Young,69802,True,cell,6914561.0,92769,44955,99.05964012492478,1.3290306867998052,0.6440359875075212
Y7,CD4NCD31-,TRB,Young,73701,True,cell,5589983.0,233597,62356,75.84677277106145,3.169522801590209,0.846067217541146
Y3,CD8N,TRA,Young,146381,True,cell,3646280.0,167304,74741,24.909516945505224,1.1429352170022065,0.5105922216681127
Y3,CD8N,TRB,Young,149442,True,cell,2391173.0,298166,101796,16.000675847485983,1.9951954604461932,0.6811739671578271
Y-Tx5,CD8N,TRA,Thymectomized,98156,True,umi,4308721.0,83347,47194,51.69617382749229,1.0,0.5662351374374602
Y-Tx5,CD8N,TRB,Thymectomized,99820,True,cell,3684312.0,183462,68052,36.90955720296534,1.8379282708875977,0.6817471448607494
Y6,CD4CM,TRA,Young,100000,,umi,9721750.0,51745,31499,187.87805585080685,1.0,0.6087351434921249
Y6,CD4CM,TRB,Young,100000,,cell,7525108.0,122653,50052,75.25108,1.22653,0.50052
